Time;Theta1;Theta2;Phi1;Phi2;Delta1;Delta2;Delta3;Delta4
Fri Sep  8 15:59:55 2023;0;0;0;0;0.0;-0.0;-0.0;0.0
Fri Sep  8 16:01:01 2023;10;10;0;0;13.83606557377049;-0.0;-0.0;0.0
Fri Sep  8 16:01:17 2023;20;20;0;0;27.67213114754098;-0.0;-0.0;0.0
Fri Sep  8 16:01:33 2023;30;30;0;0;41.50819672131147;-0.0;-0.0;0.0
Fri Sep  8 16:01:47 2023;40;40;0;0;55.34426229508196;-0.0;-0.0;0.0
Fri Sep  8 16:02:04 2023;50;50;0;0;69.18032786885246;-0.0;-0.0;0.0
Fri Sep  8 16:02:19 2023;40;40;0;0;55.34426229508196;-0.0;-0.0;0.0
Fri Sep  8 16:02:35 2023;30;30;0;0;41.50819672131147;-0.0;-0.0;0.0
Fri Sep  8 16:02:50 2023;20;20;0;0;27.67213114754098;-0.0;-0.0;0.0
Fri Sep  8 16:03:06 2023;10;10;0;0;13.83606557377049;-0.0;-0.0;0.0
Fri Sep  8 16:03:22 2023;0;0;0;0;0.0;-0.0;-0.0;0.0
Fri Sep  8 16:03:38 2023;10;10;180;0;-13.83606557377049;-0.0;-0.0;1.6944293417710919e-15
Fri Sep  8 16:03:56 2023;20;20;180;0;-27.67213114754098;-0.0;-0.0;3.3888586835421837e-15
Fri Sep  8 16:04:18 2023;30;30;180;0;-41.50819672131147;-0.0;-0.0;5.083288025313276e-15
Fri Sep  8 16:04:34 2023;40;40;180;0;-55.34426229508196;-0.0;-0.0;6.7777173670843674e-15
Fri Sep  8 16:04:48 2023;50;50;180;0;-69.18032786885246;-0.0;-0.0;8.47214670885546e-15
Fri Sep  8 16:05:02 2023;40;40;180;0;-55.34426229508196;-0.0;-0.0;6.7777173670843674e-15
Fri Sep  8 16:05:20 2023;30;30;180;0;-41.50819672131147;-0.0;-0.0;5.083288025313276e-15
Fri Sep  8 16:05:35 2023;20;20;180;0;-27.67213114754098;-0.0;-0.0;3.3888586835421837e-15
Fri Sep  8 16:05:53 2023;10;10;180;0;-13.83606557377049;-0.0;-0.0;1.6944293417710919e-15
Fri Sep  8 16:06:10 2023;0;0;180;0;-0.0;-0.0;-0.0;0.0
Fri Sep  8 16:06:24 2023;0;0;0;0;0.0;-0.0;-0.0;0.0
