Time;Theta1;Theta2;Phi1;Phi2;Delta1;Delta2;Delta3;Delta4
Fri Sep  8 16:09:26 2023;10;10;90;0;8.472146708855459e-16;-0.0;-0.0;13.83606557377049
Fri Sep  8 16:09:33 2023;20;20;90;0;1.6944293417710919e-15;-0.0;-0.0;27.67213114754098
Fri Sep  8 16:09:42 2023;30;30;90;0;2.541644012656638e-15;-0.0;-0.0;41.50819672131147
Fri Sep  8 16:09:52 2023;40;40;90;0;3.3888586835421837e-15;-0.0;-0.0;55.34426229508196
Fri Sep  8 16:10:02 2023;50;50;90;0;4.23607335442773e-15;-0.0;-0.0;69.18032786885246
Fri Sep  8 16:10:14 2023;40;40;90;0;3.3888586835421837e-15;-0.0;-0.0;55.34426229508196
Fri Sep  8 16:10:24 2023;30;30;90;0;2.541644012656638e-15;-0.0;-0.0;41.50819672131147
Fri Sep  8 16:10:33 2023;20;20;90;0;1.6944293417710919e-15;-0.0;-0.0;27.67213114754098
Fri Sep  8 16:10:42 2023;10;10;90;0;8.472146708855459e-16;-0.0;-0.0;13.83606557377049
Fri Sep  8 16:10:53 2023;0;0;90;0;0.0;-0.0;-0.0;0.0
Fri Sep  8 16:11:04 2023;10;10;270;0;-2.5416440126566375e-15;-0.0;-0.0;-13.83606557377049
Fri Sep  8 16:11:15 2023;20;20;270;0;-5.083288025313275e-15;-0.0;-0.0;-27.67213114754098
Fri Sep  8 16:11:25 2023;30;30;270;0;-7.624932037969912e-15;-0.0;-0.0;-41.50819672131147
Fri Sep  8 16:11:34 2023;40;40;270;0;-1.016657605062655e-14;-0.0;-0.0;-55.34426229508196
Fri Sep  8 16:11:45 2023;50;50;270;0;-1.2708220063283189e-14;-0.0;-0.0;-69.18032786885246
Fri Sep  8 16:11:54 2023;40;40;270;0;-1.016657605062655e-14;-0.0;-0.0;-55.34426229508196
Fri Sep  8 16:12:04 2023;30;30;270;0;-7.624932037969912e-15;-0.0;-0.0;-41.50819672131147
Fri Sep  8 16:12:12 2023;20;20;270;0;-5.083288025313275e-15;-0.0;-0.0;-27.67213114754098
Fri Sep  8 16:12:24 2023;10;10;270;0;-2.5416440126566375e-15;-0.0;-0.0;-13.83606557377049
Fri Sep  8 16:12:33 2023;0;0;270;0;-0.0;-0.0;-0.0;-0.0
Fri Sep  8 16:12:42 2023;0;0;0;0;0.0;-0.0;-0.0;0.0Time;Theta1;Theta2;Phi1;Phi2;Delta1;Delta2;Delta3;Delta4
Fri Sep 15 13:04:47 2023;10;10;90;0;8.472146708855459e-16;-0.0;-0.0;13.83606557377049
Fri Sep 15 13:04:56 2023;20;20;90;0;1.6944293417710919e-15;-0.0;-0.0;27.67213114754098
